time_s,north_m,east_m,latitude_deg,longitude_deg,depth_setpoint_m,depth_m,heading_setpoint_deg,heading_deg,speed_setpoint_mps,surge_speed_mps,pitch_setpoint_deg,pitch_deg,roll_deg,distance_to_target_m,rpm,elevator_deg,rudder_deg
0.05,0.0008095018550017818,-1.8753668440847337e-08,12.971600007280026,80.2208999999998,10.0,0.0,45.0443806015209,3.5099907162744527e-06,1.5,0.032373030426298396,-22.0,-3.0357836558654562e-06,-9.298741047361062e-14,566.5511574103627,1440.7481653602786,-17.2979582165158,20.0
0.1,0.003195543577177378,-2.910808654078745e-07,12.971600028738214,80.2208999999973,10.0,0.0,45.04443853544878,5.1472885797162025e-05,1.5,0.06306014954697675,-22.0,-4.4548086061450536e-05,-1.9970082541952445e-11,566.5505854632213,1403.8214154369487,-17.31708503555744,20.0
0.15000000000000002,0.00710825803508432,-1.4199384909924814e-06,12.9716000639261,80.2208999999869,10.0,0.0,45.04460931439624,0.00023250098458824843,1.5,0.09343828809774449,-22.0,-0.00020133000753278887,-4.0612492329620766e-10,566.5488997812566,1398.0335022316824,-17.335849398311247,20.0
0.2,0.012530682428674524,-4.346801798146118e-06,12.971600112691135,80.2208999999599,10.0,0.0,45.04488941462451,0.0006618702955793613,1.5,0.12344697181148027,-22.0,-0.0005734140247325452,-3.276558109192577e-09,566.5461360348842,1391.0520634041852,-17.35401651001434,20.0
0.25,0.019444279007097276,-1.0310182158423153e-05,12.971600174866603,80.22089999990487,10.0,0.0,45.04527769261365,0.0014682472674830192,1.5,0.1530836585345675,-22.0,-0.001272580543672461,-1.602836167444517e-08,566.5423068912353,1384.1907617684483,-17.37141485460525,20.0
0.30000000000000004,0.027830336220019788,-2.080378985233558e-05,12.971600250284228,80.22089999980801,10.0,0.0,45.04577291451468,0.0027861227574850355,1.5,0.1823439301006543,-22.0,-0.0024157716871505055,-5.7282467276236155e-08,566.537426346209,1377.3989229062086,-17.387912696567103,20.0
0.35000000000000003,0.03766993447205494,-3.753658693746777e-05,12.971600338773861,80.22089999965357,10.0,0.0,45.0463738533842,0.0047516855200604195,1.5,0.2112238648945939,-22.0,-0.004121466595160108,-1.6509628671206115e-07,566.5315087046423,1370.6803077686852,-17.403401020165216,20.0
0.4,0.0489439686893016,-6.239472875609787e-05,12.971600440163686,80.2208999994242,10.0,0.0,45.04707928382851,0.007500598283432343,1.5,0.23971993450271067,-22.0,-0.00650769675986025,-4.0694288314694867e-07,566.5245685760135,1364.0363899659915,-17.417784314852533,20.0
0.45,0.06163316826312959,-9.740546114144622e-05,12.9716005542804,80.2208999991011,10.0,0.0,45.04788798084835,0.011166834818439433,1.5,0.26782899766555784,-22.0,-0.009690976746013973,-8.907908916223737e-07,566.5166208313418,1357.4686164732548,-17.430975362590008,20.0
0.5,0.075718116695649,-0.00014470296240941475,12.971600680949383,80.22089999866455,10.0,0.0,45.04879871863602,0.015882101987239397,1.5,0.29554828974505276,-22.0,-0.013785739747362186,-1.7765587413818588e-06,566.5076805633266,1350.9783213159717,-17.44289232421571,20.0
0.55,0.09117927082637153,-0.00020649608903198623,12.971600819994883,80.2208999980943,10.0,0.0,45.04981026949015,0.021775579014028573,1.5,0.3228754118257395,-22.0,-0.01890404670410774,-3.287219704033459e-06,566.4977630480747,1344.5667323184966,-17.45345713019464,20.0
0.6000000000000001,0.10799697961730909,-0.0002850379704005622,12.971600971240171,80.22089999736949,10.0,0.0,45.05092140283702,0.028973823773510855,1.5,0.34980831938876844,-22.0,-0.025155439105900877,-5.718879849052968e-06,566.4868837084725,1338.2349742809092,-17.462594613530356,20.0
0.65,0.12615150247142567,-0.00038259739338330844,12.971601134507718,80.22089999646914,10.0,0.0,45.05213088435283,0.03760076228679808,1.5,0.3763453106543606,-22.0,-0.03264686299866428,-9.449228049255519e-06,566.4750580791787,1331.9840723677014,-17.470232065712164,20.0
0.7000000000000001,0.1456230270610803,-0.0005014319169503764,12.971601309619347,80.2208999953724,10.0,0.0,45.05343747518104,0.047777715089779516,1.5,0.40248501467639586,-22.0,-0.041482624183303694,-1.4943858667677696e-05,566.4623017732146,1325.81495553676,-17.4762990343269,20.0
0.75,0.16639168664476744,-0.000643762658708342,12.971601496396389,80.22089999405887,10.0,0.0,45.05483993123892,0.05962343526966528,1.5,0.4282263792677418,-22.0,-0.051764352946998445,-2.2760087477839146e-05,566.448630450126,1319.7284599932264,-17.480727259007583,20.0
0.8,0.1884375768522207,-0.0008117506976001948,12.971601694659842,80.22089999250858,10.0,0.0,45.05633700260769,0.07325414485788383,1.5,0.4535686588299333,-22.0,-0.06359096702341387,-3.354801366823629e-05,566.4340597856891,1313.7253326478972,-17.4834506866306,20.0
0.8500000000000001,0.21174077191976928,-0.0010074750397164687,12.97160190423051,80.22089999070226,10.0,0.0,45.057927433001026,0.08878356293888567,1.5,0.47851140215597016,-22.0,-0.07705862730354666,-4.804871910318806e-05,566.4186054431382,1307.8062345612827,-17.484405531766672,20.0
0.9,0.23628134035971265,-0.0012329120968461152,12.971602124929145,80.2208999886218,10.0,0.0,45.05960995930667,0.10632292255569184,1.5,0.5030544402702369,-22.0,-0.09226068407811294,-6.708963384498138e-05,566.4022830458856,1301.9717443557172,-17.483530362637392,20.0
